time, id1, id2, amount, message
2016-11-02 09:49:29, 4, 3, 18.77, Air b&b 
2016-11-02 09:49:29, 0, 1, 40.73, 🎥
2016-11-02 09:49:29, 9, 12, 21.43, Ubers last night in Miami 
2016-11-02 09:49:29, 6, 4, 25.52, 🍖🍶🔥🍲 
2016-11-02 09:49:29, 5, 4, 40.73, 🎥 
2016-11-02 09:49:29, 0, 2, 35.22, For my uber daddy 
2016-11-02 09:49:29, 11, 12, 24.26, Groceries 
2016-11-02 09:49:29, 9, 10, 23.52, 🍪 
2016-11-02 09:49:29, 0, 6, 25.71, bbq 
2016-11-02 09:49:29, 7, 8, 18.04, 🍔 
2016-11-02 09:49:29, 9, 11, 25.71, bbq
2016-11-02 09:49:29, 0, 5, 25.71, bbq
2016-11-02 09:49:29, 5, 3, 40.73, 🎥
2016-11-02 09:49:29, 6, 7, 40.73, 🎥
2016-11-02 09:49:29, 8, 9, 40.73, 🎥
